date,bitcoin_market_cap,total_market_cap,bitcoin_dominance,rolling_avg
2016-07-29,10375300169.233871,12823554510.30374,80.90814571651961,81.97305819137681
2016-07-30,10332176091.135324,12765223337.849792,80.94003385353776,81.91629862068208
2016-07-31,9847086965.691307,12208307011.112968,80.65890673233977,81.82954138870011
2016-08-01,9564059424.39599,11853654197.19966,80.68448147116887,81.7254854191487
2016-08-02,8165924598.986262,10175622825.201988,80.24987501267931,81.62320032565987
2016-08-03,8960483430.825201,11157767433.577326,80.30713567178513,81.519186926863
2016-08-04,9107192616.42881,11381078465.92875,80.02047120308313,81.38977341204078
2016-08-05,9099338658.9168,11421913398.929466,79.66562467344261,81.24392691781519
2016-08-06,9283768001.28,11853086746.936031,78.32363163696421,81.05264634642381
2016-08-07,9364319558.91,11898435455.442928,78.70210830640175,80.89178153019435
2016-08-08,9334500359.099998,11885771255.059595,78.53508332601,80.72700869238982
2016-08-09,9249860835.689997,11624588695.144373,79.57151068539477,80.600208018119
2016-08-10,9361030948.519566,11694080392.555613,80.04931242373489,80.49003225821897
2016-08-11,9288488901.621605,11763105306.88782,78.96289848041047,80.36678316331117
2016-08-12,9272434001.04,11753854066.15403,78.88845606600276,80.27211561510929
2016-08-13,9241013898.483736,11721188237.135666,78.8402482028732,80.19223909359525
2016-08-14,9024984099.855598,11490407250.684973,78.54363995077368,80.10376610044916
2016-08-15,8978508769.857576,11410539798.745918,78.68610011635351,80.02471232292008
2016-08-16,9145336947.424574,11506538595.852217,79.47947917822316,79.9531660852215
2016-08-17,9039235990.703674,11440376074.088192,79.01170321819258,79.84627923264401
2016-08-18,9053050627.41776,11458449023.385933,79.00764413177636,79.78238922997033
2016-08-19,9073411771.816164,11496171660.489744,78.92550702769891,79.7320463828641
2016-08-20,9208301151.705597,11668602550.856869,78.91520095548543,79.68547943756492
2016-08-21,9187908144.199305,11611786926.041494,79.12570393100987,79.68724465532203
2016-08-22,9262302916.86,11683137305.66194,79.27924387545508,79.65648671484497
2016-08-23,9212472965.7744,11603419896.687658,79.39446342370336,79.60415208681977
2016-08-24,9148400141.820934,11523932491.80058,79.38609626818045,79.57626023609917
2016-08-25,9121223051.838,11476708362.139114,79.47595045569248,79.52956670452363
2016-08-26,9153633133.989595,11509566264.901909,79.530652357451,79.49085181510097
2016-08-27,9003730818.600002,11329487627.099957,79.47165057193955,79.45136529747612
2016-08-28,9083223370.0416,11434291539.621876,79.43844477435789,79.40237526607072
2016-08-29,9068122329.394085,11505528567.781128,78.8153475607153,79.33155238964332
2016-08-30,9125715540.48,11522501696.157587,79.19908177165343,79.28289155762043
2016-08-31,9058256694.850405,11458980516.656876,79.04941178391256,79.22838923471188
2016-09-01,9056523459.6,11521587156.652954,78.60482532886502,79.17355424525141
2016-09-02,9095188851.299995,11588689788.497149,78.48332311326355,79.11276049330071
2016-09-03,9448393429.680002,11926185409.836382,79.22393544114477,79.08620930123608
2016-09-04,9647700436.713598,12170990881.187277,79.26799494711697,79.07295497702522
2016-09-05,9616262727.204,12162442128.731537,79.06522905040053,79.09767489080645
2016-09-06,9681336387.3936,12199728780.589949,79.35698048301558,79.11950396336024
2016-09-07,9740198080.118105,12248576259.287134,79.52106329691075,79.15236996239027
2016-09-08,9917920559.610004,12414835869.46567,79.88764945337024,79.16290792132277
2016-09-09,9862631720.7,12362964028.654726,79.77562417750723,79.15378497978186
2016-09-10,9881939361.403202,12448488082.833694,79.38264707848553,79.16777659971768
2016-09-11,9601743135.428335,12067405399.024803,79.56758572314374,79.19041425495571
2016-09-12,9611117069.21902,12109347853.32146,79.36940275923115,79.20805274016766
2016-09-13,9625199430.6,12126597991.370169,79.37262732259885,79.23568565256184
2016-09-14,9654573079.500004,12159385935.921158,79.4001697978723,79.25948797527911
2016-09-15,9610607638.994402,12153721118.20128,79.07543332224121,79.24601978007972
2016-09-16,9627042762.308758,12191255030.034395,78.96679003590327,79.24452267400342
2016-09-17,9609021664.308,12180735636.321314,78.88703893757608,79.2405025008634
2016-09-18,9664864143.000004,12213131510.66852,79.13502065017042,79.24748628827912
2016-09-19,9663034352.091309,12279716074.042175,78.69102423726055,79.24001373100495
2016-09-20,9650615110.177094,12360200643.761171,78.0781428095041,79.20509502695477
2016-09-21,9462412679.832169,12086107218.97329,78.29164931598214,79.17217520830566
2016-09-22,9449414102.3184,12048166396.392796,78.43030874098437,79.1400367188817
2016-09-23,9560527881.96,12195163185.226688,78.39606356019651,79.10703562861558
2016-09-24,9551877467.340004,12169335861.553871,78.49136202672238,79.07421601431658
2016-09-25,9522044919.525597,12161463157.220932,78.29686935220317,79.03308991414163
2016-09-26,9630957511.517817,12229323562.972664,78.7529863113439,79.00913443878845
2016-09-27,9602128427.579998,12225434327.058249,78.54222738187589,78.97926052570573
2016-09-28,9592874199.359997,12269122745.807678,78.18712387271415,78.95831973610568
2016-09-29,9611116960.350002,12262791069.334484,78.37625958077756,78.93089232974314
2016-09-30,9669703048.38,12325072081.134176,78.45554966920871,78.9110969259197
2016-10-01,9763087934.558168,12354163618.164206,79.02670092699434,78.92515944585735
2016-10-02,9705298188.7536,12307678032.038977,78.85563924802923,78.93756998368285
2016-10-03,9731860020.793758,12362074568.04398,78.72351818642692,78.92088940852561
2016-10-04,9689785072.17,12281174373.554708,78.89949916381941,78.908606215749
2016-10-05,9729061309.2156,12380111677.119518,78.58621604517917,78.89263911557497
2016-10-06,9719787549.600002,12333831997.608822,78.80590194097334,78.87426983084022
